id,answers,correct_answer,question,edition,json,test
160,"[""Ampere"",""Volt"",""Coulomb"",""Ohm""]",0,What unit measures electric current?,All,"{""id"":""160"",""question"":""What unit measures electric current?"",""correct_answer"":0,""answers"":[""Ampere"",""Volt"",""Coulomb"",""Ohm""],""edition"":""All""}",
161,"[""Zorro"",""Don Quixote"",""Thor"",""Shrek""]",0,Which of these heroes' names translates to dquotesfoxdquotes?,All,"{""id"":""161"",""question"":""Which of these heroes' names translates to dquotesfoxdquotes?"",""correct_answer"":0,""answers"":[""Zorro"",""Don Quixote"",""Thor"",""Shrek""],""edition"":""All""}",
162,"[""think.com"",""symbolics.com"",""xerox.com"",""microsoft.com""]",1,What was the first ever internet domain name?,All,"{""id"":""162"",""question"":""What was the first ever internet domain name?"",""correct_answer"":1,""answers"":[""think.com"",""symbolics.com"",""xerox.com"",""microsoft.com""],""edition"":""All""}",
163,"[""Rose"",""Virginia"",""Claudia"",""Michelle""]",2,"What was the real first name of the former US First Lady, dquotesLady Birddquotes Johnson?",All,"{""id"":""163"",""question"":""What was the real first name of the former US First Lady, dquotesLady Birddquotes Johnson?"",""correct_answer"":2,""answers"":[""Rose"",""Virginia"",""Claudia"",""Michelle""],""edition"":""All""}",
164,"[""Munch's Make Believe Band"",""The ShowBiz Cheesers"",""Chuck and the Cheeseheads"",""Pizza Rock City""]",0,What is the name of the Chuck E. Cheese's animatronic band?,All,"{""id"":""164"",""question"":""What is the name of the Chuck E. Cheese's animatronic band?"",""correct_answer"":0,""answers"":[""Munch's Make Believe Band"",""The ShowBiz Cheesers"",""Chuck and the Cheeseheads"",""Pizza Rock City""],""edition"":""All""}",
165,"[""Barack Obama"",""Woodrow Wilson"",""Gerald Ford"",""George Washington""]",1,Who was the only US President to earn a Ph.D?,All,"{""id"":""165"",""question"":""Who was the only US President to earn a Ph.D?"",""correct_answer"":1,""answers"":[""Barack Obama"",""Woodrow Wilson"",""Gerald Ford"",""George Washington""],""edition"":""All""}",
166,"[""Daniel"",""Henry"",""Harrison"",""Alexander""]",1,What is the real first name of the film character dquotesIndiana Jonesdquotes?,All,"{""id"":""166"",""question"":""What is the real first name of the film character dquotesIndiana Jonesdquotes?"",""correct_answer"":1,""answers"":[""Daniel"",""Henry"",""Harrison"",""Alexander""],""edition"":""All""}",
167,"[""Lindsay Lohan"",""Carmen Electra"",""Paris Hilton"",""Kim Kardashian""]",2,What celebrity trademarked the phrase dquotesThat's hotdquotes in 2007?,All,"{""id"":""167"",""question"":""What celebrity trademarked the phrase dquotesThat's hotdquotes in 2007?"",""correct_answer"":2,""answers"":[""Lindsay Lohan"",""Carmen Electra"",""Paris Hilton"",""Kim Kardashian""],""edition"":""All""}",
168,"[""Lightning"",""Feet"",""Pain"",""Sound""]",1,What does a Brannock Device measure?,All,"{""id"":""168"",""question"":""What does a Brannock Device measure?"",""correct_answer"":1,""answers"":[""Lightning"",""Feet"",""Pain"",""Sound""],""edition"":""All""}",
169,"[""John F. Kennedy"",""Thomas Jefferson"",""Susan B. Anthony"",""Harriet Tubman""]",0,Who is on the obverse side of a standard 2022 US half dollar coin?,All,"{""id"":""169"",""question"":""Who is on the obverse side of a standard 2022 US half dollar coin?"",""correct_answer"":0,""answers"":[""John F. Kennedy"",""Thomas Jefferson"",""Susan B. Anthony"",""Harriet Tubman""],""edition"":""All""}",
170,"[""Saint"",""Twas"",""On"",""From""]",1,"What is the first word of Clement Clarke Moore's poem, dquotesA Visit from St. Nicholasdquotes?",All,"{""id"":""170"",""question"":""What is the first word of Clement Clarke Moore's poem, dquotesA Visit from St. Nicholasdquotes?"",""correct_answer"":1,""answers"":[""Saint"",""Twas"",""On"",""From""],""edition"":""All""}",
171,"[""Baltimore"",""Detroit"",""Chicago"",""Miami""]",1,In what city was the fictional RoboCop deployed to fight crime?,All,"{""id"":""171"",""question"":""In what city was the fictional RoboCop deployed to fight crime?"",""correct_answer"":1,""answers"":[""Baltimore"",""Detroit"",""Chicago"",""Miami""],""edition"":""All""}",
172,"[""Lemur"",""Koala"",""Lynx"",""Kangaroo""]",0,What kind of animal is the PBS television star Zoboomafoo?,All,"{""id"":""172"",""question"":""What kind of animal is the PBS television star Zoboomafoo?"",""correct_answer"":0,""answers"":[""Lemur"",""Koala"",""Lynx"",""Kangaroo""],""edition"":""All""}",
173,"[""Surcharge"",""Underneath"",""Dreamt"",""Because""]",1,Which of these words is grammatically a preposition?,All,"{""id"":""173"",""question"":""Which of these words is grammatically a preposition?"",""correct_answer"":1,""answers"":[""Surcharge"",""Underneath"",""Dreamt"",""Because""],""edition"":""All""}",
174,"[""Square-circle"",""Wind-water"",""Peace-war"",""Good place""]",1,What does the Chinese interior decorating and metaphysical system dquotesfeng shuidquotes mean in English?,All,"{""id"":""174"",""question"":""What does the Chinese interior decorating and metaphysical system dquotesfeng shuidquotes mean in English?"",""correct_answer"":1,""answers"":[""Square-circle"",""Wind-water"",""Peace-war"",""Good place""],""edition"":""All""}",
175,"[""Eve 6"",""Blink-182"",""Twenty One Pilots"",""Avenged Sevenfold""]",3,Which of these band names has a prime number in it?,All,"{""id"":""175"",""question"":""Which of these band names has a prime number in it?"",""correct_answer"":3,""answers"":[""Eve 6"",""Blink-182"",""Twenty One Pilots"",""Avenged Sevenfold""],""edition"":""All""}",
176,"[""Dory"",""Marlin"",""Clowny"",""Andy""]",1,What is the name of Nemo's dad in the 2003 movie dquotesFinding Nemodquotes?,All,"{""id"":""176"",""question"":""What is the name of Nemo's dad in the 2003 movie dquotesFinding Nemodquotes?"",""correct_answer"":1,""answers"":[""Dory"",""Marlin"",""Clowny"",""Andy""],""edition"":""All""}",
177,"[""Enamel"",""Cartilage"",""Bone"",""Iron""]",2,What is a swordfish's dquotessworddquotes made out of?,All,"{""id"":""177"",""question"":""What is a swordfish's dquotessworddquotes made out of?"",""correct_answer"":2,""answers"":[""Enamel"",""Cartilage"",""Bone"",""Iron""],""edition"":""All""}",
178,"[""100 thousand years"",""1 million years"",""1 billion years"",""1 thousand years""]",2,"In astronomical terminology, how long is an eon?",All,"{""id"":""178"",""question"":""In astronomical terminology, how long is an eon?"",""correct_answer"":2,""answers"":[""100 thousand years"",""1 million years"",""1 billion years"",""1 thousand years""],""edition"":""All""}",
179,"[""Queen Victoria"",""Queen Elizabeth I"",""Queen Elizabeth II"",""Queen Latifah""]",0,For what Queen is the Australian state dquotesQueenslanddquotes named?,All,"{""id"":""179"",""question"":""For what Queen is the Australian state dquotesQueenslanddquotes named?"",""correct_answer"":0,""answers"":[""Queen Victoria"",""Queen Elizabeth I"",""Queen Elizabeth II"",""Queen Latifah""],""edition"":""All""}",
180,"[""YouTube"",""Reddit"",""Twitter"",""Instagram""]",0,Which of these websites was founded first?,All,"{""id"":""180"",""question"":""Which of these websites was founded first?"",""correct_answer"":0,""answers"":[""YouTube"",""Reddit"",""Twitter"",""Instagram""],""edition"":""All""}",
